Technology,Variable,Hour,Value
Wind Power plant 1,G_elec,150,100.0
Wind Power plant 1,G_elec,151,100.0
Wind Power plant 1,G_elec,152,100.0
Wind Power plant 1,G_elec,153,100.0
Wind Power plant 1,G_elec,154,100.0
Wind Power plant 1,G_elec,155,100.0
Wind Power plant 1,G_elec,156,100.0
Wind Power plant 1,G_elec,157,100.0
Wind Power plant 1,G_elec,158,100.0
Wind Power plant 1,G_elec,159,100.0
Wind Power plant 1,G_elec,160,100.0
Wind Power plant 1,G_elec,161,100.0
Wind Power plant 1,G_elec,162,100.0
Wind Power plant 1,G_elec,163,100.0
Wind Power plant 1,G_elec,164,100.0
Wind Power plant 1,G_elec,165,100.0
Wind Power plant 1,G_elec,166,100.0
Wind Power plant 1,G_elec,167,100.0
Wind Power plant 1,G_elec,168,100.0
Wind Power plant 1,G_elec,169,100.0
Wind Power plant 1,G_elec,170,100.0
Wind Power plant 1,G_elec,171,100.0
Wind Power plant 1,G_elec,172,100.0
Wind Power plant 1,G_elec,173,100.0
Wind Power plant 1,G_elec,174,100.0
Wind Power plant 1,G_elec,175,100.0
Wind Power plant 1,G_elec,176,100.0
Wind Power plant 1,G_elec,177,100.0
Wind Power plant 1,G_elec,178,100.0
Wind Power plant 1,G_elec,179,100.0
Wind Power plant 1,G_elec,180,100.0
Wind Power plant 1,G_elec,181,100.0
Wind Power plant 1,G_elec,182,100.0
Wind Power plant 1,G_elec,183,100.0
Wind Power plant 1,G_elec,184,100.0
Wind Power plant 1,G_elec,185,100.0
Wind Power plant 1,G_elec,186,100.0
Wind Power plant 1,G_elec,187,100.0
Wind Power plant 1,G_elec,188,100.0
Wind Power plant 1,G_elec,189,100.0
Wind Power plant 1,G_elec,190,100.0
Wind Power plant 1,G_elec,191,100.0
Wind Power plant 1,G_elec,192,100.0
Wind Power plant 1,G_elec,193,100.0
Wind Power plant 1,G_elec,194,100.0
Wind Power plant 1,G_elec,195,100.0
Wind Power plant 1,G_elec,196,100.0
Wind Power plant 1,G_elec,197,100.0
Wind Power plant 1,G_elec,198,100.0
Wind Power plant 1,G_elec,199,100.0
Wind Power plant 1,G_elec,200,100.0
Wind Power plant 1,G_elec,201,100.0
Wind Power plant 1,G_elec,202,100.0
Wind Power plant 1,G_elec,203,100.0
Wind Power plant 1,G_elec,204,100.0
Wind Power plant 1,G_elec,205,100.0
Wind Power plant 1,G_elec,206,100.0
Wind Power plant 1,G_elec,207,100.0
Wind Power plant 1,G_elec,208,100.0
Wind Power plant 1,G_elec,209,100.0
Wind Power plant 1,G_elec,210,100.0
Wind Power plant 1,G_elec,211,100.0
Wind Power plant 1,G_elec,212,100.0
Wind Power plant 1,G_elec,213,100.0
Wind Power plant 1,G_elec,214,100.0
Wind Power plant 1,G_elec,215,100.0
Wind Power plant 1,G_elec,216,100.0
Wind Power plant 1,G_elec,217,100.0
Wind Power plant 1,G_elec,218,100.0
Wind Power plant 1,G_elec,219,100.0
Wind Power plant 1,G_elec,220,100.0
Wind Power plant 1,G_elec,221,100.0
Wind Power plant 1,G_elec,222,100.0
Wind Power plant 1,G_elec,223,100.0
Wind Power plant 1,G_elec,224,100.0
Wind Power plant 1,G_elec,225,100.0
Wind Power plant 1,G_elec,226,100.0
Wind Power plant 1,G_elec,227,100.0
Wind Power plant 1,G_elec,228,100.0
Wind Power plant 1,G_elec,229,100.0
Wind Power plant 1,G_elec,230,100.0
Wind Power plant 1,G_elec,231,100.0
Wind Power plant 1,G_elec,232,100.0
Wind Power plant 1,G_elec,233,100.0
Wind Power plant 1,G_elec,234,100.0
Wind Power plant 1,G_elec,235,100.0
Wind Power plant 1,G_elec,236,100.0
Wind Power plant 1,G_elec,237,100.0
Wind Power plant 1,G_elec,238,100.0
Wind Power plant 1,G_elec,239,100.0
Wind Power plant 1,G_elec,240,100.0
Wind Power plant 1,G_elec,241,100.0
Wind Power plant 1,G_elec,242,100.0
Wind Power plant 1,G_elec,243,100.0
Wind Power plant 1,G_elec,244,100.0
Wind Power plant 1,G_elec,245,100.0
Wind Power plant 1,G_elec,246,100.0
Wind Power plant 1,G_elec,247,100.0
Wind Power plant 1,G_elec,248,100.0
Wind Power plant 1,G_elec,249,100.0
Wind Power plant 1,G_elec,250,100.0
Wind Power plant 1,G_elec,251,100.0
Wind Power plant 1,G_elec,252,100.0
Wind Power plant 1,G_elec,253,100.0
Wind Power plant 1,G_elec,254,100.0
Wind Power plant 1,G_elec,255,100.0
Wind Power plant 1,G_elec,256,100.0
Wind Power plant 1,G_elec,257,100.0
Wind Power plant 1,G_elec,258,100.0
Wind Power plant 1,G_elec,259,100.0
Wind Power plant 1,G_elec,260,100.0
Wind Power plant 1,G_elec,261,100.0
Wind Power plant 1,G_elec,262,100.0
Wind Power plant 1,G_elec,263,100.0
Wind Power plant 1,G_elec,264,100.0
Wind Power plant 1,G_elec,265,100.0
Wind Power plant 1,G_elec,266,100.0
Wind Power plant 1,G_elec,267,100.0
Wind Power plant 1,G_elec,268,100.0
Wind Power plant 1,G_elec,269,100.0
Wind Power plant 1,G_elec,270,100.0
Wind Power plant 1,G_elec,271,100.0
Wind Power plant 1,G_elec,272,100.0
Wind Power plant 1,G_elec,273,100.0
Wind Power plant 1,G_elec,274,100.0
Wind Power plant 1,G_elec,275,100.0
Wind Power plant 1,G_elec,276,100.0
Wind Power plant 1,G_elec,277,100.0
Wind Power plant 1,G_elec,278,100.0
Wind Power plant 1,G_elec,279,100.0
Wind Power plant 1,G_elec,280,100.0
Wind Power plant 1,G_elec,281,100.0
Wind Power plant 1,G_elec,282,100.0
Wind Power plant 1,G_elec,283,100.0
Wind Power plant 1,G_elec,284,100.0
Wind Power plant 1,G_elec,285,100.0
Wind Power plant 1,G_elec,286,100.0
Wind Power plant 1,G_elec,287,100.0
Wind Power plant 1,G_elec,288,100.0
Wind Power plant 1,G_elec,289,100.0
Wind Power plant 1,G_elec,290,100.0
Wind Power plant 1,G_elec,291,100.0
Wind Power plant 1,G_elec,292,100.0
Wind Power plant 1,G_elec,293,100.0
Wind Power plant 1,G_elec,294,100.0
Wind Power plant 1,G_elec,295,100.0
Wind Power plant 1,G_elec,296,100.0
Wind Power plant 1,G_elec,297,100.0
Wind Power plant 1,G_elec,298,100.0
Wind Power plant 1,G_elec,299,100.0
Wind Power plant 1,G_elec,300,100.0
Wind Power plant 1,G_elec,301,100.0
Wind Power plant 1,G_elec,302,100.0
Wind Power plant 1,G_elec,303,100.0
Wind Power plant 1,G_elec,304,100.0
Wind Power plant 1,G_elec,305,100.0
Wind Power plant 1,G_elec,306,100.0
Wind Power plant 1,G_elec,307,100.0
Wind Power plant 1,G_elec,308,100.0
