http://wwwi2.ymparisto.fi/i2/95/prev_week_e.txt accessed 2023-05-09
 
 Weekly inflow energy  for Finland
 Week 18
 
   Day    GWh/Week   Obs%
 20230501  483.08   98.44  +
 20230502  507.38   98.44  +
 20230503  551.70   98.44  +
 20230504  576.99   98.44  +
 20230505  584.35   98.44  +
 20230506  585.06   96.88  +
 20230507  560.82   96.88  +
 
 Each value is the inflow energy for last 7 day period.
 The inflow energy for the week 18 is
 560.82  GWh.
 
  
  Inflow energy for Finland (GWh/Week)
  Min, max and median values are for the period 1978-2014
      2023  2022
 mmdd   GWh   GWh  Median  Min    Max
 0523   -     903  822.8  275.5 1589.9
 0524   -     821  781.1  273.5 1709.5
 0525   -     758  741.2  272.2 1799.2
 0526   -     711  708.3  271.9 1832.1
 0527   -     657  681.1  269.6 1802.5
 0528   -     620  655.3  262.9 1719.6
 0529   -     603  626.4  254.1 1634.1
 0530   -     573  596.9  242.9 1564.6
 0531   -     558  570.7  231.5 1513.0
 0601   -     536  545.2  220.8 1440.6
 0602   -     515  522.9  211.5 1347.5
 0603   -     502  499.2  206.8 1245.0
 0604   -     476  479.2  199.1 1140.6
 0605   -     454  458.6  191.8 1055.4
 0606   -     435  440.4  184.8  998.3
 0607   -     412  417.3  182.3  969.6
 0608   -     386  400.1  181.9  945.1
 0609   -     366  386.8  181.6  917.6
 0610   -     338  378.3  176.9  892.2
 0611   -     326  368.4  170.7  860.9
 0612   -     315  354.9  166.0  822.2
 0613   -     296  349.5  161.9  771.9
 0614   -     283  340.4  156.7  732.8
 0615   -     274  335.4  147.9  712.6
 0616   -     274  325.6  140.1  720.5
 0617   -     278  321.2  135.9  742.2
 0618   -     288  313.3  133.9  767.0
 0619   -     309  304.3  134.0  771.5
 0620   -     324  290.1  132.5  769.8
 0621   -     321  275.1  129.0  765.5
 0622   -     329  259.5  123.1  754.1
 0623   -     317  251.6  125.4  719.7
 0624   -     320  247.1  126.2  667.0
 0625   -     298  238.9  131.5  625.7
 0626   -     263  228.4  126.1  600.8
 0627   -     235  217.3  121.7  585.2
 0628   -     236  213.5  116.4  579.6
 0629   -     213  210.6  117.6  583.1
 0630   -     193  210.6  116.2  607.2
 0701   -     168  207.9  112.4  629.6
 0702   -     161  207.9  104.2  647.2
 0703   -     158  206.0  102.1  654.5
 0704   -     152  207.7   96.0  653.5
 0705   -     143  205.7   87.3  652.3
 0706   -     141  206.3   77.8  639.9
 0707   -     139  202.3   75.9  614.8
 0708   -     130  196.3   82.5  588.0
 0709   -     127  191.2   85.9  569.1
 0710   -     126  186.4   85.9  559.4
 0711   -     120  184.1   78.2  547.4
 0712   -     116  179.8   74.4  523.1
 0713   -     128  176.4   67.8  503.4
 0714   -     172  176.1   64.9  486.2
 0715   -     182  174.0   58.4  492.0
 0716   -     196  171.4   58.3  492.1
 0717   -     202  167.9   53.2  496.8
 0718   -     225  168.4   52.9  497.3
 0719   -     227  170.2   42.5  501.1
 0720   -     219  170.4   40.3  496.0
 0721   -     194  171.9   38.2  482.5
 0722   -     198  173.4   47.4  471.2
 0723   -     196  176.3   51.3  463.8
 0724   -     190  177.0   53.7  452.4
 0725   -     178  175.5   47.5  435.9
 0726   -     189  174.2   49.0  416.3
 0727   -     197  170.4   44.8  398.1
 0728   -     185  168.1   43.8  381.7
 0729   -     175  161.6   36.2  362.7
 0730   -     182  158.5   31.3  348.9
 0731   -     192  154.7   27.3  349.8
 0801   -     198  151.2   26.4  369.2
 0802   -     186  146.0   26.3  395.4
 0803   -     200  143.9   30.1  414.5
